workout_date,exercise,set_number,reps,weight,notes
2026-01-26,Incline Dumbbell Press,1,10,22.5,obosit spre final
2026-01-26,Incline Dumbbell Press,2,10,24.5,
2026-01-26,Incline Dumbbell Press,3,7,26.5,
2026-01-28,Barbell Row,1,8,55.0,
2026-01-28,Barbell Row,2,8,57.5,
2026-01-28,Barbell Row,3,5,60.0,
2026-01-28,Deadlift,1,6,90.0,solid
2026-01-28,Deadlift,2,4,95.0,solid
2026-01-28,Deadlift,3,3,100.0,
2026-01-28,Pull-Up,1,6,0.0,
2026-01-28,Pull-Up,2,7,0.0,
2026-01-28,Pull-Up,3,8,0.0,solid
2026-01-30,Back Squat,1,9,72.5,
2026-01-30,Back Squat,2,8,75.0,usor
2026-01-30,Back Squat,3,6,77.5,greutate grea
2026-01-30,Romanian Deadlift,1,11,55.0,greutate grea
2026-01-30,Romanian Deadlift,2,10,57.5,solid
2026-01-30,Romanian Deadlift,3,7,60.0,
2026-02-02,Bench Press,1,8,62.5,progres vizibil
2026-02-02,Bench Press,2,9,65.0,greutate grea
2026-02-02,Bench Press,3,7,65.0,
2026-02-02,Overhead Press,1,7,42.5,solid
2026-02-02,Overhead Press,2,7,45.0,
2026-02-02,Overhead Press,3,6,45.0,
2026-02-02,Incline Dumbbell Press,1,10,24.5,
2026-02-02,Incline Dumbbell Press,2,10,26.5,
2026-02-02,Incline Dumbbell Press,3,7,26.5,greutate grea
2026-02-04,Barbell Row,1,9,57.5,
2026-02-04,Barbell Row,2,8,60.0,greutate grea
2026-02-04,Barbell Row,3,6,60.0,obosit spre final
2026-02-04,Deadlift,1,4,95.0,solid
2026-02-04,Deadlift,2,6,100.0,forma buna
2026-02-04,Deadlift,3,4,100.0,muschi obositi
2026-02-04,Pull-Up,1,7,0.0,obosit spre final
2026-02-04,Pull-Up,2,6,0.0,
2026-02-04,Pull-Up,3,8,0.0,usor
2026-02-06,Back Squat,1,8,75.0,
2026-02-06,Back Squat,2,8,77.5,progres vizibil
2026-02-06,Back Squat,3,7,77.5,
2026-02-06,Romanian Deadlift,1,9,57.5,
2026-02-06,Romanian Deadlift,2,9,60.0,forma buna
2026-02-06,Romanian Deadlift,3,9,60.0,
2026-02-09,Bench Press,1,9,62.5,obosit spre final
2026-02-09,Bench Press,2,7,65.0,progres vizibil
2026-02-09,Bench Press,3,5,65.0,
2026-02-09,Overhead Press,1,7,42.5,obosit spre final
2026-02-09,Overhead Press,2,7,45.0,
2026-02-09,Overhead Press,3,6,45.0,
2026-02-09,Incline Dumbbell Press,1,9,24.5,
2026-02-09,Incline Dumbbell Press,2,10,26.5,greutate grea
2026-02-09,Incline Dumbbell Press,3,9,26.5,
2026-02-11,Barbell Row,1,7,57.5,
2026-02-11,Barbell Row,2,8,60.0,solid
2026-02-11,Barbell Row,3,5,60.0,progres vizibil
2026-02-11,Deadlift,1,6,95.0,
2026-02-11,Deadlift,2,4,100.0,solid
2026-02-11,Deadlift,3,4,100.0,
2026-02-11,Pull-Up,1,6,0.0,forma buna
2026-02-11,Pull-Up,2,7,0.0,usor
2026-02-11,Pull-Up,3,8,0.0,
2026-02-13,Back Squat,1,9,75.0,
2026-02-13,Back Squat,2,8,77.5,forma buna
2026-02-13,Back Squat,3,6,77.5,forma buna
2026-02-13,Romanian Deadlift,1,11,57.5,greutate grea
2026-02-13,Romanian Deadlift,2,10,60.0,solid
2026-02-13,Romanian Deadlift,3,9,60.0,muschi obositi
2026-02-16,Bench Press,1,8,65.0,
2026-02-16,Bench Press,2,7,67.5,greutate grea
2026-02-16,Bench Press,3,5,70.0,forma buna
2026-02-16,Overhead Press,1,8,45.0,usor
2026-02-16,Overhead Press,2,8,47.5,
2026-02-16,Overhead Press,3,6,50.0,
2026-02-16,Incline Dumbbell Press,1,10,26.5,
2026-02-16,Incline Dumbbell Press,2,10,28.5,progres vizibil
2026-02-16,Incline Dumbbell Press,3,8,30.5,usor
2026-02-18,Barbell Row,1,8,60.0,solid
2026-02-18,Barbell Row,2,8,62.5,muschi obositi
2026-02-18,Barbell Row,3,6,65.0,
2026-02-18,Deadlift,1,5,100.0,solid
2026-02-18,Deadlift,2,5,105.0,
2026-02-18,Deadlift,3,3,110.0,forma buna
2026-02-18,Pull-Up,1,7,0.0,
2026-02-18,Pull-Up,2,8,0.0,usor
2026-02-18,Pull-Up,3,9,0.0,forma buna
2026-02-20,Back Squat,1,7,77.5,
2026-02-20,Back Squat,2,9,80.0,
2026-02-20,Back Squat,3,7,82.5,solid
2026-02-20,Romanian Deadlift,1,11,60.0,forma buna
2026-02-20,Romanian Deadlift,2,10,62.5,
2026-02-20,Romanian Deadlift,3,9,65.0,obosit spre final
2026-02-23,Bench Press,1,8,65.0,obosit spre final
2026-02-23,Bench Press,2,8,67.5,obosit spre final
2026-02-23,Bench Press,3,6,67.5,obosit spre final
2026-02-23,Overhead Press,1,8,45.0,
2026-02-23,Overhead Press,2,9,47.5,solid
2026-02-23,Overhead Press,3,6,47.5,progres vizibil
2026-02-23,Incline Dumbbell Press,1,10,26.5,muschi obositi
2026-02-23,Incline Dumbbell Press,2,11,28.5,solid
2026-02-23,Incline Dumbbell Press,3,7,28.5,
2026-02-25,Barbell Row,1,9,60.0,
2026-02-25,Barbell Row,2,8,62.5,
2026-02-25,Barbell Row,3,6,62.5,
2026-02-25,Deadlift,1,5,100.0,forma buna
2026-02-25,Deadlift,2,5,105.0,
2026-02-25,Deadlift,3,3,105.0,obosit spre final
2026-02-25,Pull-Up,1,6,0.0,usor
2026-02-25,Pull-Up,2,8,0.0,obosit spre final
2026-02-25,Pull-Up,3,9,0.0,usor
2026-02-27,Back Squat,1,7,77.5,forma buna
2026-02-27,Back Squat,2,7,80.0,greutate grea
2026-02-27,Back Squat,3,7,80.0,
2026-02-27,Romanian Deadlift,1,10,60.0,muschi obositi
2026-02-27,Romanian Deadlift,2,10,62.5,
2026-02-27,Romanian Deadlift,3,8,62.5,forma buna
2026-03-02,Bench Press,1,8,60.0,
2026-03-02,Bench Press,2,8,62.5,
2026-03-02,Bench Press,3,6,62.5,progres vizibil
2026-03-02,Overhead Press,1,9,42.5,forma buna
2026-03-02,Overhead Press,2,9,45.0,forma buna
2026-03-02,Overhead Press,3,7,45.0,
2026-03-02,Incline Dumbbell Press,1,10,25.5,
2026-03-02,Incline Dumbbell Press,2,10,27.5,
2026-03-02,Incline Dumbbell Press,3,7,27.5,muschi obositi
2026-03-04,Barbell Row,1,7,55.0,forma buna
2026-03-04,Barbell Row,2,8,57.5,
2026-03-04,Barbell Row,3,5,57.5,muschi obositi
2026-03-04,Deadlift,1,4,95.0,solid
2026-03-04,Deadlift,2,4,100.0,
2026-03-04,Deadlift,3,3,100.0,
2026-03-04,Pull-Up,1,6,0.0,usor
2026-03-04,Pull-Up,2,9,0.0,
2026-03-04,Pull-Up,3,9,0.0,
2026-03-06,Back Squat,1,9,72.5,progres vizibil
2026-03-06,Back Squat,2,8,75.0,
2026-03-06,Back Squat,3,6,75.0,
2026-03-06,Romanian Deadlift,1,9,55.0,
2026-03-06,Romanian Deadlift,2,10,57.5,solid
2026-03-06,Romanian Deadlift,3,8,57.5,obosit spre final
2026-03-09,Bench Press,1,7,67.5,solid
2026-03-09,Bench Press,2,8,70.0,
2026-03-09,Bench Press,3,6,72.5,muschi obositi
2026-03-09,Overhead Press,1,8,47.5,usor
2026-03-09,Overhead Press,2,9,50.0,
2026-03-09,Overhead Press,3,6,52.5,
2026-03-09,Incline Dumbbell Press,1,10,28.5,muschi obositi
2026-03-09,Incline Dumbbell Press,2,10,30.5,greutate grea
2026-03-09,Incline Dumbbell Press,3,9,32.5,
2026-03-11,Barbell Row,1,8,62.5,solid
2026-03-11,Barbell Row,2,8,65.0,
2026-03-11,Barbell Row,3,6,67.5,usor
2026-03-11,Deadlift,1,5,105.0,
2026-03-11,Deadlift,2,4,110.0,solid
2026-03-11,Deadlift,3,3,115.0,
2026-03-11,Pull-Up,1,8,0.0,
2026-03-11,Pull-Up,2,8,0.0,
2026-03-11,Pull-Up,3,10,0.0,progres vizibil
2026-03-13,Back Squat,1,8,80.0,muschi obositi
2026-03-13,Back Squat,2,9,82.5,
2026-03-13,Back Squat,3,7,85.0,muschi obositi
2026-03-13,Romanian Deadlift,1,10,62.5,
2026-03-13,Romanian Deadlift,2,10,65.0,obosit spre final
2026-03-13,Romanian Deadlift,3,9,67.5,obosit spre final
2026-03-16,Bench Press,1,8,70.0,muschi obositi
2026-03-16,Bench Press,2,8,72.5,progres vizibil
2026-03-16,Bench Press,3,6,72.5,progres vizibil
2026-03-16,Overhead Press,1,9,50.0,
2026-03-16,Overhead Press,2,7,52.5,obosit spre final
2026-03-16,Overhead Press,3,6,52.5,usor
2026-03-16,Incline Dumbbell Press,1,10,30.5,greutate grea
2026-03-16,Incline Dumbbell Press,2,9,32.5,
2026-03-16,Incline Dumbbell Press,3,9,32.5,progres vizibil
2026-03-18,Barbell Row,1,7,65.0,
2026-03-18,Barbell Row,2,7,67.5,
2026-03-18,Barbell Row,3,7,67.5,forma buna
2026-03-18,Deadlift,1,5,110.0,usor
2026-03-18,Deadlift,2,6,115.0,
2026-03-18,Deadlift,3,4,115.0,progres vizibil
2026-03-18,Pull-Up,1,7,0.0,usor
2026-03-18,Pull-Up,2,9,0.0,forma buna
2026-03-18,Pull-Up,3,10,0.0,
2026-03-20,Back Squat,1,8,82.5,muschi obositi
2026-03-20,Back Squat,2,8,85.0,progres vizibil
2026-03-20,Back Squat,3,5,85.0,greutate grea
2026-03-20,Romanian Deadlift,1,9,65.0,progres vizibil
2026-03-20,Romanian Deadlift,2,9,67.5,
2026-03-20,Romanian Deadlift,3,8,67.5,
2026-03-23,Bench Press,1,8,70.0,
2026-03-23,Bench Press,2,8,72.5,usor
2026-03-23,Bench Press,3,5,72.5,greutate grea
2026-03-23,Overhead Press,1,8,50.0,solid
2026-03-23,Overhead Press,2,8,52.5,muschi obositi
2026-03-23,Overhead Press,3,7,52.5,forma buna
2026-03-23,Incline Dumbbell Press,1,11,30.5,muschi obositi
2026-03-23,Incline Dumbbell Press,2,9,32.5,muschi obositi
2026-03-23,Incline Dumbbell Press,3,8,32.5,
2026-03-25,Barbell Row,1,7,65.0,
2026-03-25,Barbell Row,2,8,67.5,
2026-03-25,Barbell Row,3,6,67.5,progres vizibil
2026-03-25,Deadlift,1,4,110.0,forma buna
2026-03-25,Deadlift,2,4,115.0,forma buna
2026-03-25,Deadlift,3,3,115.0,
2026-03-25,Pull-Up,1,7,0.0,
2026-03-25,Pull-Up,2,9,0.0,obosit spre final
2026-03-25,Pull-Up,3,11,0.0,
2026-03-27,Back Squat,1,7,82.5,progres vizibil
2026-03-27,Back Squat,2,7,85.0,
2026-03-27,Back Squat,3,6,85.0,
2026-03-27,Romanian Deadlift,1,10,65.0,obosit spre final
2026-03-27,Romanian Deadlift,2,10,67.5,usor
2026-03-27,Romanian Deadlift,3,9,67.5,
2026-03-30,Bench Press,1,8,72.5,
2026-03-30,Bench Press,2,7,75.0,forma buna
2026-03-30,Bench Press,3,5,77.5,obosit spre final
2026-03-30,Overhead Press,1,8,52.5,greutate grea
2026-03-30,Overhead Press,2,7,55.0,
2026-03-30,Overhead Press,3,7,57.5,greutate grea
2026-03-30,Incline Dumbbell Press,1,11,32.5,
2026-03-30,Incline Dumbbell Press,2,11,34.5,
2026-03-30,Incline Dumbbell Press,3,7,36.5,
2026-04-01,Barbell Row,1,7,67.5,
2026-04-01,Barbell Row,2,8,70.0,
2026-04-01,Barbell Row,3,5,72.5,
2026-04-01,Deadlift,1,6,115.0,obosit spre final
2026-04-01,Deadlift,2,4,120.0,
2026-04-01,Deadlift,3,4,125.0,obosit spre final
2026-04-01,Pull-Up,1,9,0.0,progres vizibil
2026-04-01,Pull-Up,2,10,0.0,
2026-04-01,Pull-Up,3,10,0.0,
2026-04-03,Back Squat,1,9,85.0,
2026-04-03,Back Squat,2,9,87.5,
2026-04-03,Back Squat,3,6,90.0,
2026-04-03,Romanian Deadlift,1,10,67.5,
2026-04-03,Romanian Deadlift,2,10,70.0,
2026-04-03,Romanian Deadlift,3,9,72.5,obosit spre final
2026-04-06,Bench Press,1,8,72.5,obosit spre final
2026-04-06,Bench Press,2,8,75.0,
2026-04-06,Bench Press,3,5,75.0,progres vizibil
2026-04-06,Overhead Press,1,8,52.5,solid
2026-04-06,Overhead Press,2,7,55.0,
2026-04-06,Overhead Press,3,7,55.0,forma buna
2026-04-06,Incline Dumbbell Press,1,10,32.5,solid
2026-04-06,Incline Dumbbell Press,2,11,34.5,
2026-04-06,Incline Dumbbell Press,3,8,34.5,
2026-04-08,Barbell Row,1,9,67.5,progres vizibil
2026-04-08,Barbell Row,2,8,70.0,usor
2026-04-08,Barbell Row,3,6,70.0,
2026-04-08,Deadlift,1,4,115.0,forma buna
2026-04-08,Deadlift,2,6,120.0,obosit spre final
2026-04-08,Deadlift,3,5,120.0,solid
2026-04-08,Pull-Up,1,9,0.0,
2026-04-08,Pull-Up,2,9,0.0,muschi obositi
2026-04-08,Pull-Up,3,12,0.0,forma buna
2026-04-10,Back Squat,1,8,85.0,
2026-04-10,Back Squat,2,8,87.5,greutate grea
2026-04-10,Back Squat,3,6,87.5,muschi obositi
2026-04-10,Romanian Deadlift,1,10,67.5,
2026-04-10,Romanian Deadlift,2,9,70.0,greutate grea
2026-04-10,Romanian Deadlift,3,8,70.0,usor
